"src_nl","tgt_sql"
"Find the department having highest total salary payout","SELECT d.department_name FROM faculty f JOIN department d ON f.department_id = d.department_id GROUP BY d.department_name ORDER BY SUM(f.salary) DESC LIMIT 1;"
"Count total faculty joined each year","SELECT EXTRACT(YEAR FROM joining_date) AS join_year, COUNT(*) AS total_joined FROM faculty GROUP BY EXTRACT(YEAR FROM joining_date) ORDER BY join_year;"
"Show names of faculty teaching more than 3 subjects","SELECT f.first_name, f.last_name FROM faculty f JOIN subject s ON f.faculty_id = s.faculty_id GROUP BY f.faculty_id, f.first_name, f.last_name HAVING COUNT(s.subject_id) > 3;"
"Find faculty with no subjects assigned","SELECT f.* FROM faculty f LEFT JOIN subject s ON f.faculty_id = s.faculty_id WHERE s.subject_id IS NULL;"
"Get all faculty working under departments established after 2010","SELECT f.*, d.department_name FROM faculty f JOIN department d ON f.department_id = d.department_id WHERE d.established_date > '2010-01-01';"
"Increase salary by 10 percent for Assistant Professors","UPDATE faculty SET salary = salary * 1.10 WHERE designation = 'Assistant Professor';"
"Change department of faculty named Priya Sharma to department 4","UPDATE faculty SET department_id = 4 WHERE first_name = 'Priya' AND last_name = 'Sharma';"
"Deactivate faculty who haven’t taught any subject","UPDATE faculty SET is_active = FALSE WHERE faculty_id NOT IN (SELECT DISTINCT faculty_id FROM subject);"
"Delete all faculty with salary below 40000","DELETE FROM faculty WHERE salary < 40000;"
"src_nl","tgt_sql"
"List all students","SELECT * FROM student;"
"Show student full names and emails","SELECT first_name || ' ' || last_name AS full_name, email FROM student;"
"Get students admitted after 2020","SELECT * FROM student WHERE admission_year > 2020;"
"List students from Computer Science department","SELECT s.* FROM student s JOIN department d ON s.department_id = d.department_id WHERE d.department_name = 'Computer Science';"
"Show total number of students","SELECT COUNT(*) AS total_students FROM student;"
"Find students born after 2003","SELECT * FROM student WHERE dob > '2003-01-01';"
"List all female students","SELECT * FROM student WHERE gender = 'Female';"
"Show students sorted by admission year descending","SELECT * FROM student ORDER BY admission_year DESC;"
"Get student details with their department names","SELECT s.first_name, s.last_name, d.department_name FROM student s JOIN department d ON s.department_id = d.department_id;"
"Find students having Gmail IDs","SELECT * FROM student WHERE email ILIKE '%@gmail.com';"
"Count of students per department","SELECT d.department_name, COUNT(s.student_id) AS total_students FROM student s JOIN department d ON s.department_id = d.department_id GROUP BY d.department_name;"
"Get students who joined in 2021 and belong to IT department","SELECT s.* FROM student s JOIN department d ON s.department_id = d.department_id WHERE s.admission_year = 2021 AND d.department_name = 'Information Technology';"
"Find students with no phone number","SELECT * FROM student WHERE phone IS NULL OR phone = '';"
"List top 10 recently created students","SELECT * FROM student ORDER BY created_date DESC LIMIT 10;"
"Find all students who live in Mangalore","SELECT * FROM student WHERE address ILIKE '%Mangalore%';"
"Get number of male and female students","SELECT gender, COUNT(*) FROM student GROUP BY gender;"
"Find average age of students","SELECT AVG(EXTRACT(YEAR FROM AGE(dob))) AS average_age FROM student;"
"Show oldest student details","SELECT * FROM student ORDER BY dob ASC LIMIT 1;"
"Find students who are under 20 years old","SELECT * FROM student WHERE AGE(dob) < INTERVAL '20 years';"
"List all student emails sorted alphabetically","SELECT email FROM student ORDER BY email;"
"Show department having maximum students","SELECT d.department_name FROM department d JOIN student s ON d.department_id = s.department_id GROUP BY d.department_name ORDER BY COUNT(s.student_id) DESC LIMIT 1;"
"Find total number of students admitted per year","SELECT admission_year, COUNT(*) AS total FROM student GROUP BY admission_year ORDER BY admission_year;"
"Get students who enrolled in any course","SELECT DISTINCT s.* FROM student s JOIN enrollment e ON s.student_id = e.student_id;"
"Find students who haven’t enrolled in any course","SELECT * FROM student s WHERE NOT EXISTS (SELECT 1 FROM enrollment e WHERE e.student_id = s.student_id);"
"Show students with their enrolled course names","SELECT s.first_name, s.last_name, c.course_name FROM student s JOIN enrollment e ON s.student_id = e.student_id JOIN course c ON e.course_id = c.course_id;"
"List students enrolled in semester 5","SELECT DISTINCT s.* FROM student s JOIN enrollment e ON s.student_id = e.student_id WHERE e.semester = 5;"
"Find total active enrollments per academic year","SELECT academic_year, COUNT(enrollment_id) AS total_enrollments FROM enrollment GROUP BY academic_year;"
"Show students who scored above 80 total marks in any subject","SELECT DISTINCT s.* FROM student s JOIN marks m ON s.student_id = m.student_id WHERE m.total_marks > 80;"
"List students along with their average marks","SELECT s.first_name, s.last_name, AVG(m.total_marks) AS avg_marks FROM student s JOIN marks m ON s.student_id = m.student_id GROUP BY s.first_name, s.last_name;"
"Find students having attendance below 75 percent","SELECT DISTINCT s.* FROM student s JOIN attendance a ON s.student_id = a.student_id WHERE a.attendance_percentage < 75;"
"Show top 5 students with highest average marks","SELECT s.first_name, s.last_name, AVG(m.total_marks) AS avg_marks FROM student s JOIN marks m ON s.student_id = m.student_id GROUP BY s.student_id, s.first_name, s.last_name ORDER BY avg_marks DESC LIMIT 5;"
"Find students who failed in any subject","SELECT DISTINCT s.* FROM student s JOIN marks m ON s.student_id = m.student_id WHERE m.grade IN ('F','Fail');"
"Get students who scored full marks in any subject","SELECT DISTINCT s.* FROM student s JOIN marks m ON s.student_id = m.student_id WHERE m.total_marks = 100;"
"Show average attendance per semester","SELECT semester, AVG(attendance_percentage) AS avg_attendance FROM attendance GROUP BY semester;"
"Find students with more than 90 percent attendance in all subjects","SELECT s.* FROM student s WHERE NOT EXISTS (SELECT 1 FROM attendance a WHERE a.student_id = s.student_id AND a.attendance_percentage < 90);"
"Get department name and average marks of its students","SELECT d.department_name, AVG(m.total_marks) AS avg_marks FROM department d JOIN student s ON d.department_id = s.department_id JOIN marks m ON s.student_id = m.student_id GROUP BY d.department_name;"
"List students along with total subjects attended","SELECT s.first_name, s.last_name, COUNT(a.subject_id) AS subjects_attended FROM student s JOIN attendance a ON s.student_id = a.student_id GROUP BY s.first_name, s.last_name;"
"Show students who got grade A in all subjects","SELECT s.* FROM student s WHERE NOT EXISTS (SELECT 1 FROM marks m WHERE m.student_id = s.student_id AND m.grade <> 'A');"
"Insert a new student record","INSERT INTO student (student_id, first_name, last_name, gender, dob, email, phone, address, admission_year, department_id, created_date) VALUES (501, 'Megha', 'Shetty', 'Female', '2005-02-15', 'megha.shetty@example.com', '9876000012', 'Mangalore', 2024, 2, NOW());"
"Update email of student named Arjun Kumar","UPDATE student SET email = 'arjun.kumar@college.edu' WHERE first_name = 'Arjun' AND last_name = 'Kumar';"
"Update address for all students in department 3 to Bangalore","UPDATE student SET address = 'Bangalore' WHERE department_id = 3;"
"Delete student record whose ID is 404","DELETE FROM student WHERE student_id = 404;"
"Delete all students admitted before 2015","DELETE FROM student WHERE admission_year < 2015;"
"Get list of students and their grades per subject","SELECT s.first_name, s.last_name, sub.subject_name, m.grade FROM student s JOIN marks m ON s.student_id = m.student_id JOIN subject sub ON m.subject_id = sub.subject_id;"
"Find students who improved their marks between semester 1 and 2","SELECT s.first_name, s.last_name FROM student s JOIN marks m1 ON s.student_id = m1.student_id JOIN marks m2 ON s.student_id = m2.student_id AND m1.semester = 1 AND m2.semester = 2 WHERE m2.total_marks > m1.total_marks;"
"Get students who have failed more than two subjects","SELECT s.first_name, s.last_name FROM student s JOIN marks m ON s.student_id = m.student_id WHERE m.grade = 'F' GROUP BY s.student_id, s.first_name, s.last_name HAVING COUNT(m.subject_id) > 2;"
"Find students enrolled in more than one course","SELECT s.first_name, s.last_name, COUNT(DISTINCT e.course_id) AS total_courses FROM student s JOIN enrollment e ON s.student_id = e.student_id GROUP BY s.student_id, s.first_name, s.last_name HAVING COUNT(DISTINCT e.course_id) > 1;"
"Get students with same last name as their HOD","SELECT s.* FROM student s JOIN department d ON s.department_id = d.department_id WHERE s.last_name = SPLIT_PART(d.hod_name, ' ', 2);"
"Find students who joined in the same year as their department establishment","SELECT s.* FROM student s JOIN department d ON s.department_id = d.department_id WHERE s.admission_year = EXTRACT(YEAR FROM d.established_date);"
"Show students whose attendance date matches any exam date","SELECT DISTINCT s.* FROM student s JOIN attendance a ON s.student_id = a.student_id JOIN marks m ON s.student_id = m.student_id WHERE a.attendance_date = m.exam_date;"
"Get students who have taken all subjects in their course","SELECT s.* FROM student s JOIN course c ON s.department_id = c.department_id JOIN subject sub ON c.course_id = sub.course_id WHERE NOT EXISTS (SELECT sub2.subject_id FROM subject sub2 WHERE sub2.course_id = c.course_id EXCEPT SELECT m.subject_id FROM marks m WHERE m.student_id = s.student_id);"
"List all courses","SELECT * FROM course;"
"Show course names and codes","SELECT course_name, course_code FROM course;"
"Find courses with more than 3 credits","SELECT * FROM course WHERE credits > 3;"
"List all courses offered by Computer Science department","SELECT c.* FROM course c JOIN department d ON c.department_id = d.department_id WHERE d.department_name = 'Computer Science';"
"Get total number of courses","SELECT COUNT(*) AS total_courses FROM course;"
"Show all courses sorted by course name","SELECT * FROM course ORDER BY course_name;"
"List courses lasting more than 2 years","SELECT * FROM course WHERE duration_years > 2;"
"Find course details by course code 'CS101'","SELECT * FROM course WHERE course_code = 'CS101';"
"Get names of all unique departments offering courses","SELECT DISTINCT d.department_name FROM course c JOIN department d ON c.department_id = d.department_id;"
"Find average course duration per department","SELECT d.department_name, AVG(c.duration_years) AS avg_duration FROM course c JOIN department d ON c.department_id = d.department_id GROUP BY d.department_name;"
"Show total number of courses per department","SELECT d.department_name, COUNT(c.course_id) AS total_courses FROM course c JOIN department d ON c.department_id = d.department_id GROUP BY d.department_name;"
"Find the department with the highest number of courses","SELECT d.department_name FROM department d JOIN course c ON d.department_id = c.department_id GROUP BY d.department_name ORDER BY COUNT(c.course_id) DESC LIMIT 1;"
"List all course codes that start with 'ME'","SELECT * FROM course WHERE course_code LIKE 'ME%';"
"Find courses that have exactly 4 credits","SELECT * FROM course WHERE credits = 4;"
"Get total credits of all courses combined","SELECT SUM(credits) AS total_credits FROM course;"
"Show courses and their corresponding department HODs","SELECT c.course_name, d.hod_name FROM course c JOIN department d ON c.department_id = d.department_id;"
"List courses without any subjects assigned","SELECT c.* FROM course c LEFT JOIN subject s ON c.course_id = s.course_id WHERE s.subject_id IS NULL;"
"Find all subjects under each course","SELECT c.course_name, s.subject_name FROM course c JOIN subject s ON c.course_id = s.course_id ORDER BY c.course_name;"
"Show number of subjects for each course","SELECT c.course_name, COUNT(s.subject_id) AS subject_count FROM course c JOIN subject s ON c.course_id = s.course_id GROUP BY c.course_name;"
"Find courses that have subjects handled by faculty named 'Asha Rao'","SELECT DISTINCT c.course_name FROM course c JOIN subject s ON c.course_id = s.course_id JOIN faculty f ON s.faculty_id = f.faculty_id WHERE f.first_name = 'Asha' AND f.last_name = 'Rao';"
"Get course names with their total enrolled students","SELECT c.course_name, COUNT(e.student_id) AS total_students FROM course c JOIN enrollment e ON c.course_id = e.course_id GROUP BY c.course_name;"
"List courses having more than 50 enrollments","SELECT c.course_name FROM course c JOIN enrollment e ON c.course_id = e.course_id GROUP BY c.course_name HAVING COUNT(e.enrollment_id) > 50;"
"Show course with the maximum number of enrollments","SELECT c.course_name FROM course c JOIN enrollment e ON c.course_id = e.course_id GROUP BY c.course_name ORDER BY COUNT(e.enrollment_id) DESC LIMIT 1;"
"Find all courses where students are enrolled in semester 6","SELECT DISTINCT c.course_name FROM course c JOIN enrollment e ON c.course_id = e.course_id WHERE e.semester = 6;"
"List courses that do not have any enrollments","SELECT c.* FROM course c LEFT JOIN enrollment e ON c.course_id = e.course_id WHERE e.course_id IS NULL;"
"Get all course names and their duration in years","SELECT course_name, duration_years FROM course;"
"Find the longest duration course","SELECT * FROM course ORDER BY duration_years DESC LIMIT 1;"
"Get the shortest duration course","SELECT * FROM course ORDER BY duration_years ASC LIMIT 1;"
"Show total number of courses per duration","SELECT duration_years, COUNT(*) AS total FROM course GROUP BY duration_years;"
"List courses with credits between 2 and 5","SELECT * FROM course WHERE credits BETWEEN 2 AND 5;"
"Find average credits for all courses","SELECT AVG(credits) AS avg_credits FROM course;"
"Get details of the course with code starting 'EE' and lasting 4 years","SELECT * FROM course WHERE course_code LIKE 'EE%' AND duration_years = 4;"
"Find department-wise maximum course credits","SELECT d.department_name, MAX(c.credits) AS max_credits FROM course c JOIN department d ON c.department_id = d.department_id GROUP BY d.department_name;"
"Find all departments that offer courses with less than 3 credits","SELECT DISTINCT d.department_name FROM course c JOIN department d ON c.department_id = d.department_id WHERE c.credits < 3;"
"Show all course names and total subjects and credits per course","SELECT c.course_name, COUNT(s.subject_id) AS total_subjects, SUM(c.credits) AS total_credits FROM course c LEFT JOIN subject s ON c.course_id = s.course_id GROUP BY c.course_name;"
"Get course names where department was established before 2010","SELECT c.course_name FROM course c JOIN department d ON c.department_id = d.department_id WHERE d.established_date < '2010-01-01';"
"Insert a new course record","INSERT INTO course (course_id, course_name, course_code, credits, duration_years, description, department_id) VALUES (501, 'Data Analytics', 'DA501', 4, 2, 'Study of data analysis methods', 2);"
"Update duration of course 'Machine Learning' to 3 years","UPDATE course SET duration_years = 3 WHERE course_name = 'Machine Learning';"
"Increase credits by 1 for all courses of department 3","UPDATE course SET credits = credits + 1 WHERE department_id = 3;"
"Delete course with ID 205","DELETE FROM course WHERE course_id = 205;"
"Delete all courses having duration less than 2 years","DELETE FROM course WHERE duration_years < 2;"
"Find courses that have both theory and lab subjects","SELECT DISTINCT c.course_name FROM course c JOIN subject s1 ON c.course_id = s1.course_id JOIN subject s2 ON c.course_id = s2.course_id WHERE s1.subject_name ILIKE '%Theory%' AND s2.subject_name ILIKE '%Lab%';"
"Show all courses taught by faculty with qualification 'PhD'","SELECT DISTINCT c.course_name FROM course c JOIN subject s ON c.course_id = s.course_id JOIN faculty f ON s.faculty_id = f.faculty_id WHERE f.qualification ILIKE '%PhD%';"
"List courses that are common between IT and CS departments","SELECT c.course_name FROM course c JOIN department d ON c.department_id = d.department_id WHERE d.department_name IN ('Information Technology','Computer Science') GROUP BY c.course_name HAVING COUNT(DISTINCT d.department_name) = 2;"
"Find departments that offer more than 5 courses","SELECT d.department_name FROM department d JOIN course c ON d.department_id = c.department_id GROUP BY d.department_name HAVING COUNT(c.course_id) > 5;"
"Get all course names that contain the word 'Engineering'","SELECT * FROM course WHERE course_name ILIKE '%Engineering%';"
"Find average duration and credits per department","SELECT d.department_name, AVG(c.duration_years) AS avg_duration, AVG(c.credits) AS avg_credits FROM course c JOIN department d ON c.department_id = d.department_id GROUP BY d.department_name;"
"Show department that offers the course 'Artificial Intelligence'","SELECT d.department_name FROM department d JOIN course c ON d.department_id = c.department_id WHERE c.course_name = 'Artificial Intelligence';"
"Find the total credits per department","SELECT d.department_name, SUM(c.credits) AS total_credits FROM course c JOIN department d ON c.department_id = d.department_id GROUP BY d.department_name;"
"List all courses with subjects taught in semester 8","SELECT DISTINCT c.course_name FROM course c JOIN subject s ON c.course_id = s.course_id WHERE s.semester = 8;"
"List all faculty members","SELECT * FROM faculty;"
"Show faculty names and designations","SELECT faculty_name, designation FROM faculty;"
"Find all professors","SELECT * FROM faculty WHERE designation = 'Professor';"
"List all assistant professors","SELECT * FROM faculty WHERE designation = 'Assistant Professor';"
"Get faculty with more than 10 years experience","SELECT * FROM faculty WHERE experience > 10;"
"Show faculty from Computer Science department","SELECT f.* FROM faculty f JOIN department d ON f.department = d.department_name WHERE d.department_name = 'Computer Science';"
"Get total number of faculty members","SELECT COUNT(*) AS total_faculty FROM faculty;"
"Show all faculty sorted by name","SELECT * FROM faculty ORDER BY faculty_name;"
"List faculty with less than 5 years of experience","SELECT * FROM faculty WHERE experience < 5;"
"Find details of faculty with ID 'FAC051'","SELECT * FROM faculty WHERE faculty_id = 'FAC051';"
"Get names of all unique departments having faculty","SELECT DISTINCT department FROM faculty;"
"Find average experience of faculty per department","SELECT department, AVG(experience) AS avg_experience FROM faculty GROUP BY department;"
"Show total number of faculty per department","SELECT department, COUNT(faculty_id) AS total_faculty FROM faculty GROUP BY department;"
"Find department with highest number of faculty","SELECT department FROM faculty GROUP BY department ORDER BY COUNT(faculty_id) DESC LIMIT 1;"
"List all faculty whose email ends with '@college.edu'","SELECT * FROM faculty WHERE email LIKE '%@college.edu';"
"Find faculty whose phone number starts with '98'","SELECT * FROM faculty WHERE phone LIKE '98%';"
"Get total experience of all faculty combined","SELECT SUM(experience) AS total_experience FROM faculty;"
"Show faculty names with their department HODs","SELECT f.faculty_name, d.hod_name FROM faculty f JOIN department d ON f.department = d.department_name;"
"List faculty who are not assigned to any subject","SELECT f.* FROM faculty f LEFT JOIN subject s ON f.faculty_id = s.faculty_id WHERE s.subject_id IS NULL;"
"Find all subjects taught by each faculty","SELECT f.faculty_name, s.subject_name FROM faculty f JOIN subject s ON f.faculty_id = s.faculty_id ORDER BY f.faculty_name;"
"Show number of subjects handled by each faculty","SELECT f.faculty_name, COUNT(s.subject_id) AS subject_count FROM faculty f JOIN subject s ON f.faculty_id = s.faculty_id GROUP BY f.faculty_name;"
"Find faculty who teach in semester 5","SELECT DISTINCT f.faculty_name FROM faculty f JOIN subject s ON f.faculty_id = s.faculty_id WHERE s.semester = 5;"
"Get faculty who teach course 'Machine Learning'","SELECT DISTINCT f.faculty_name FROM faculty f JOIN subject s ON f.faculty_id = s.faculty_id JOIN course c ON s.course_id = c.course_id WHERE c.course_name = 'Machine Learning';"
"List faculty who have a PhD qualification","SELECT * FROM faculty WHERE qualification ILIKE '%PhD%';"
"Find faculty with 'M.Tech' qualification in IT department","SELECT * FROM faculty WHERE qualification ILIKE '%M.Tech%' AND department = 'Information Technology';"
"Show faculty having between 5 and 15 years of experience","SELECT * FROM faculty WHERE experience BETWEEN 5 AND 15;"
"Get average experience of all faculty","SELECT AVG(experience) AS avg_experience FROM faculty;"
"Find department-wise maximum faculty experience","SELECT department, MAX(experience) AS max_experience FROM faculty GROUP BY department;"
"Show all faculty who joined before 2015","SELECT * FROM faculty WHERE joining_date < '2015-01-01';"
"Insert a new faculty record","INSERT INTO faculty (faculty_id, faculty_name, department, designation, experience, email, phone) VALUES ('FAC060', 'Ravi Kumar', 'Electronics', 'Assistant Professor', 4, 'ravi.kumar@college.edu', '9988776655');"
"Update experience of 'Vinay Kulkarni' to 14 years","UPDATE faculty SET experience = 14 WHERE faculty_name = 'Vinay Kulkarni';"
"Increase experience by 1 year for all professors","UPDATE faculty SET experience = experience + 1 WHERE designation = 'Professor';"
"Delete faculty with ID 'FAC053'","DELETE FROM faculty WHERE faculty_id = 'FAC053';"
"Delete all faculty with less than 2 years of experience","DELETE FROM faculty WHERE experience < 2;"
"Find faculty teaching both theory and lab subjects","SELECT DISTINCT f.faculty_name FROM faculty f JOIN subject s1 ON f.faculty_id = s1.faculty_id JOIN subject s2 ON f.faculty_id = s2.faculty_id WHERE s1.subject_name ILIKE '%Theory%' AND s2.subject_name ILIKE '%Lab%';"
"List faculty common between CS and IS departments","SELECT faculty_name FROM faculty WHERE department IN ('Computer Science','Information Science') GROUP BY faculty_name HAVING COUNT(DISTINCT department) = 2;"
"Show total number of faculty with PhD per department","SELECT department, COUNT(*) AS phd_faculty FROM faculty WHERE qualification ILIKE '%PhD%' GROUP BY department;"
"Find department with least experienced faculty","SELECT department FROM faculty GROUP BY department ORDER BY AVG(experience) ASC LIMIT 1;"
"Get all faculty whose name contains 'Shetty'","SELECT * FROM faculty WHERE faculty_name ILIKE '%Shetty%';"
"Show faculty who handle subjects in semester 8","SELECT DISTINCT f.faculty_name FROM faculty f JOIN subject s ON f.faculty_id = s.faculty_id WHERE s.semester = 8;"
"List all faculty emails","SELECT email FROM faculty;"
"List all faculty phone numbers","SELECT phone FROM faculty;"
"Show faculty names along with department","SELECT faculty_name, department FROM faculty;"
"Find faculty with experience exactly 5 years","SELECT * FROM faculty WHERE experience = 5;"
"Get faculty with designation 'Associate Professor'","SELECT * FROM faculty WHERE designation = 'Associate Professor';"
"Find faculty in 'Electronics' department","SELECT * FROM faculty WHERE department = 'Electronics';"
"Show faculty names starting with 'A'","SELECT * FROM faculty WHERE faculty_name LIKE 'A%';"
"Show faculty names ending with 'Rao'","SELECT * FROM faculty WHERE faculty_name LIKE '%Rao';"
"Find faculty with email containing 'gmail'","SELECT * FROM faculty WHERE email LIKE '%gmail%';"
"Get all faculty sorted by experience descending","SELECT * FROM faculty ORDER BY experience DESC;"
"Find the most experienced faculty","SELECT * FROM faculty ORDER BY experience DESC LIMIT 1;"
"Find the least experienced faculty","SELECT * FROM faculty ORDER BY experience ASC LIMIT 1;"
"Count number of faculty per designation","SELECT designation, COUNT(*) AS total FROM faculty GROUP BY designation;"
"Show average experience per designation","SELECT designation, AVG(experience) AS avg_experience FROM faculty GROUP BY designation;"
"Find faculty whose name contains 'Shetty'","SELECT * FROM faculty WHERE faculty_name ILIKE '%Shetty%';"
"List faculty with experience between 3 and 8 years","SELECT * FROM faculty WHERE experience BETWEEN 3 AND 8;"
"Show faculty who are HODs","SELECT * FROM faculty WHERE designation ILIKE '%HOD%';"
"Get faculty teaching in semester 2","SELECT DISTINCT f.faculty_name FROM faculty f JOIN subject s ON f.faculty_id = s.faculty_id WHERE s.semester = 2;"
"Find faculty teaching multiple subjects","SELECT f.faculty_name, COUNT(s.subject_id) AS subject_count FROM faculty f JOIN subject s ON f.faculty_id = s.faculty_id GROUP BY f.faculty_name HAVING COUNT(s.subject_id) > 1;"
"List faculty with no subjects assigned","SELECT f.* FROM faculty f LEFT JOIN subject s ON f.faculty_id = s.faculty_id WHERE s.subject_id IS NULL;"
"Show faculty with email ending '.edu'","SELECT * FROM faculty WHERE email LIKE '%.edu';"
"Find faculty in 'Computer Science' or 'IT' department","SELECT * FROM faculty WHERE department IN ('Computer Science','Information Technology');"
"Show total number of faculty per department","SELECT department, COUNT(*) AS total_faculty FROM faculty GROUP BY department;"
"Find faculty with phone number ending in '33'","SELECT * FROM faculty WHERE phone LIKE '%33';"
"Show faculty sorted by joining date ascending","SELECT * FROM faculty ORDER BY joining_date ASC;"
"Get faculty who joined after 2020","SELECT * FROM faculty WHERE joining_date > '2020-01-01';"
"Find faculty with experience greater than average","SELECT * FROM faculty WHERE experience > (SELECT AVG(experience) FROM faculty);"
"List faculty who are not professors","SELECT * FROM faculty WHERE designation != 'Professor';"
"Show faculty whose name contains 'Kumar'","SELECT * FROM faculty WHERE faculty_name ILIKE '%Kumar%';"
"Count faculty per qualification","SELECT qualification, COUNT(*) AS total FROM faculty GROUP BY qualification;"
"Show faculty with PhD and experience > 10","SELECT * FROM faculty WHERE qualification ILIKE '%PhD%' AND experience > 10;"
"Find faculty with multiple courses","SELECT f.faculty_name, COUNT(s.subject_id) AS subject_count FROM faculty f JOIN subject s ON f.faculty_id = s.faculty_id GROUP BY f.faculty_name HAVING COUNT(s.subject_id) > 2;"
"Show faculty teaching course 'Data Science'","SELECT DISTINCT f.faculty_name FROM faculty f JOIN subject s ON f.faculty_id = s.faculty_id JOIN course c ON s.course_id = c.course_id WHERE c.course_name = 'Data Science';"
"Get faculty with experience less than 3 years","SELECT * FROM faculty WHERE experience < 3;"
"Show faculty having M.Tech qualification","SELECT * FROM faculty WHERE qualification ILIKE '%M.Tech%';"
